,treatment,Day,mm2,log body size
0,170d,0,0.28376874,-1.2595956683144736
1,170d,0,1.070768697,0.0683767989532334
2,170d,0,0.40769709,-0.8972308067835795
3,170d,0,0.088825919,-2.421076790942246
4,170d,0,0.248608481,-1.3918759854431835
5,170d,0,0.310196764,-1.1705484602734801
6,170d,0,0.325001084,-1.1239267612733466
7,170d,0,0.184475704,-1.6902375098097264
8,170d,0,0.282554323,-1.2638844530764157
9,170d,0,0.327140771,-1.1173647083653924
10,170d,0,0.155561017,-1.8607172320456087
11,200d,0,0.244618254,-1.4080564305495702
12,200d,0,0.252078243,-1.3780157515669293
13,200d,0,0.252078243,-1.3780157515669293
14,200d,0,0.205120791,-1.584156248978016
15,200d,0,0.19598375,-1.629723531351957
16,200d,0,0.166548598,-1.792468132270404
17,200d,0,0.165392011,-1.799436798647352
18,170d,1,0.349173763,-1.052185592432791
19,170d,1,1.09817982,0.09365410017021907
20,170d,1,0.514450115,-0.6646566866206401
21,170d,1,0.146481805,-1.920854056190438
22,170d,1,0.286428892,-1.2502649690954122
23,170d,1,0.288105943,-1.2444270088503353
24,170d,1,0.401567176,-0.9123804470126758
25,170d,1,0.219635964,-1.5157838122638814
26,170d,1,0.29955616,-1.2054533664840401
27,170d,1,0.422559239,-0.8614256313626156
28,170d,1,0.199800489,-1.6104359653232314
29,200d,1,0.217901083,-1.5237140668741114
30,200d,1,0.279952002,-1.2731371119357913
31,200d,1,0.262024896,-1.3393157568346667
32,200d,1,0.198065607,-1.619156954686539
33,200d,1,0.164004106,-1.8078638148859827
34,200d,1,0.14145065,-1.955804385981775
35,200d,1,0.170885801,-1.7667597759868952
36,170d,2,0.341308968,-1.074967147411168
37,170d,2,1.128135436,0.12056621324424321
38,170d,2,0.520580029,-0.6528116486634481
39,170d,2,0.175974786,-1.737414555570511
40,170d,2,0.373404271,-0.9850936098038826
41,170d,2,0.337897035,-1.085014060085831
42,170d,2,0.379592014,-0.9686582504023329
43,170d,2,0.242652055,-1.4161267341785189
44,170d,2,0.253061343,-1.3741233571932936
45,170d,2,0.436206971,-0.8296384441410226
46,170d,2,0.181237259,-1.707948282890588
47,200d,2,0.331940609,-1.1027992146223313
48,200d,2,0.2726655,-1.2995095097852598
49,200d,2,0.253408319,-1.3727531821154275
50,200d,2,0.16735821,-1.7876187936694685
51,200d,2,0.160245197,-1.8310501555494012
52,200d,2,0.165045035,-1.801536902928797
53,200d,2,0.178114473,-1.7253288286530022
54,170d,3,0.413595686,-0.8828663862098192
55,170d,3,1.421156877,0.35147124203621916
56,170d,3,0.672786942,-0.3963265789540756
57,170d,3,0.121788663,-2.105468006856176
58,170d,3,0.423484509,-0.8592383440714347
59,170d,3,0.339863234,-1.079211995238523
60,170d,3,0.528907459,-0.636941798154665
61,170d,3,0.206624355,-1.576852844442917
62,170d,3,0.272549842,-1.2999337751821602
63,170d,3,0.482875276,-0.72799688641936
64,170d,3,0.276019604,-1.287283386801919
65,200d,3,0.463271119,-0.7694428260808449
66,200d,3,0.326157672,-1.1203743580977892
67,200d,3,0.405441744,-0.9027780803590089
68,200d,3,0.203212422,-1.5935034332565243
69,200d,3,0.182336018,-1.7019040413878501
70,200d,3,0.122540444,-2.0993141483845172
71,200d,3,0.15162862,-1.8863210373120696
72,170d,4,0.456852058,-0.7833956647867915
73,170d,4,1.275484682,0.24332624911954032
74,170d,4,0.651447903,-0.4285578503114375
75,170d,4,0.21258078,-1.5484332216765462
76,170d,4,0.451011291,-0.7962629043161227
77,170d,4,0.349347251,-1.0516888629140217
78,170d,4,0.712457893,-0.3390344661295198
79,170d,4,0.245543524,-1.404281060292032
80,170d,4,0.312162963,-1.1642299102251672
81,170d,4,0.61102517,-0.49261712589633855
82,170d,4,0.291807023,-1.231662575328383
83,200d,4,0.48721248,-0.7190549471509811
84,200d,4,0.752302332,-0.2846169985935691
85,200d,4,0.481082566,-0.7317163687217352
86,200d,4,0.191820035,-1.651197664219623
87,200d,4,0.221081698,-1.5092229715689145
88,200d,4,0.139773598,-1.9677313225257427
89,200d,4,0.157064581,-1.8510982142635133
90,170d,5,0.441585103,-0.8173845187368115
91,170d,5,1.617429773,0.4808383294488277
92,170d,5,0.73397042,-0.3092865509071977
93,170d,5,0.235018578,-1.4480907126435363
94,170d,5,0.446095794,-0.8072215652716526
95,170d,5,0.287874626,-1.2452302200171208
96,170d,5,0.66469083,-0.4084332637270695
97,170d,5,0.310428082,-1.1698030244044448
98,170d,5,0.357848169,-1.0276464914796162
99,170d,5,0.449449898,-0.7997308929067972
100,170d,5,0.400873224,-0.9141100512873317
101,200d,5,0.599227978,-0.5121131556128349
102,200d,5,0.522141422,-0.6498168044209602
103,200d,5,0.763463401,-0.26989009129428115
104,200d,5,0.208185748,-1.5693245785544927
105,200d,5,0.186673221,-1.6783956720374813
106,200d,5,0.185574463,-1.6842990596914562
107,170d,6,0.618542989,-0.48038858431032433
108,170d,6,2.323468606,0.8430611579388108
109,170d,6,1.037632465,0.036941642081121696
110,170d,6,0.382541312,-0.9609186263189331
111,170d,6,0.568462751,-0.5648194894861099
112,170d,6,0.345530512,-1.062674327083291
113,170d,6,0.894331276,-0.11167901763725742
114,170d,6,0.302621116,-1.19527369817224
115,170d,6,0.409431971,-0.8929845164737558
116,170d,6,0.681577007,-0.3833460378975329
117,170d,6,0.508667177,-0.6759613525298078
118,200d,6,0.847952117,-0.16493111058637425
119,200d,6,0.682155301,-0.3824979329853436
120,200d,6,0.695109081,-0.3636864946537402
121,200d,6,0.221313016,-1.5081772175679713
122,200d,6,0.340036722,-1.0787016613217923
123,200d,6,0.181121601,-1.7085866445629236
124,200d,6,0.239760586,-1.4281144118659386
125,170d,7,0.58980179,-0.5279687476784727
126,170d,7,2.99515679,1.0969965807814757
127,170d,7,1.263514002,0.23389672970002248
128,170d,7,0.361954055,-1.0162379951008795
129,170d,7,0.658503087,-0.41778606988268246
130,170d,7,0.381153407,-0.9645533418497749
131,170d,7,1.121947693,0.11506618658419525
132,170d,7,0.454712371,-0.7880902115716374
133,170d,7,0.383466582,-0.9585028014762567
134,170d,7,0.910639159,-0.09360855349191344
135,170d,7,0.60547355,-0.5017443998498047
136,200d,7,0.923939915,-0.07910823651108069
137,200d,7,0.725064697,-0.32149439086748877
138,200d,7,1.281903743,0.24834627221623543
139,200d,7,0.324827596,-1.1244607112495828
140,200d,7,0.365365988,-1.0068557209250484
141,200d,7,0.176900056,-1.7321703612534176
142,200d,7,0.336219983,-1.0899896219393577
143,170d,8,0.853098932,-0.15887975697308937
144,170d,8,2.380083563,0.8671355975712256
145,170d,8,1.175150718,0.1613964100084453
146,170d,8,0.433662479,-0.8354887456025049
147,170d,8,0.796657462,-0.2273304767663335
148,170d,8,0.333097197,-1.0993209487083317
149,170d,8,1.19712588,0.17992358395387337
150,170d,8,0.528040018,-0.6385832064812522
151,170d,8,0.47981032,-0.7343644198457897
152,170d,8,1.090893319,0.08699691930178464
153,170d,8,0.792667235,-0.23235177341071017
154,200d,8,1.19712588,0.17992358395387337
155,200d,8,0.71639029,-0.3335301627679487
156,200d,8,1.259812922,0.23096323533676702
157,200d,8,0.382367824,-0.9613722436044635
158,200d,8,0.335063395,-1.0934355262545048
159,200d,8,0.197718631,-1.6209103145001833
160,200d,8,0.399022684,-0.9187370115779688
161,170d,9,0.938744235,-0.06321221706778923
162,170d,9,3.925573595,1.3675124794106328
163,170d,9,1.932831182,0.6589858616994142
164,170d,9,0.591999306,-0.5242498163961159
165,170d,9,1.149300987,0.13915392017581454
166,170d,9,0.443551302,-0.8129418086123419
167,170d,9,2.23984733,0.8064077072942057
168,170d,9,0.766933164,-0.2653556209163113
169,170d,9,0.5555668,-0.587766425106945
170,170d,9,1.214243375,0.19412114618600804
171,170d,9,1.138949529,0.13010637180634418
172,200d,9,2.084517631,0.7345374764463845
173,200d,9,1.028206277,0.027815805464048427
174,200d,9,2.142057858,0.7617669828652427
175,200d,9,0.489409996,-0.7145547031719368
176,200d,9,0.310196764,-1.1705484602734801
177,200d,9,0.229640446,-1.4712404715142333
178,200d,9,0.610215559,-0.4939430088273289
179,170d,10,1.580476803,0.4577265755648781
180,170d,10,3.143315647,1.1452781813442479
181,170d,10,2.812762943,1.0341672540049864
182,170d,10,0.949211352,-0.05212379494716349
183,170d,10,1.123624745,0.11655983896735791
184,170d,10,0.646127601,-0.4367582699371818
185,170d,10,3.141002472,1.1445420075667059
186,170d,10,0.959447151,-0.041398044780351965
187,170d,10,0.770576414,-0.26061645457746563
188,170d,10,1.86083361,0.6210245647429624
189,170d,10,1.188682791,0.17284579573972386
190,200d,10,3.014471801,1.1034246244500951
191,200d,10,1.086440457,0.08290671663554873
192,200d,10,2.798074282,1.0289314241396401
193,200d,10,0.663592072,-0.4100876676932106
194,200d,10,0.453960589,-0.7897448930788977
195,200d,10,0.393471064,-0.9327477487713265
196,200d,10,1.02612442,0.025789006452852817
197,170d,14,5.061053362,1.62157463594241
198,170d,14,6.178721682,1.821111402500874
199,170d,14,4.042620249,1.3968930582233758
200,170d,14,2.92859518,1.0745228473000636
201,170d,14,3.767352427,1.326372480744713
202,170d,14,2.302476543,0.8339853014732809
203,170d,14,7.985484827,2.077625497043547
204,170d,14,4.318119389,1.4628199808535067
205,170d,14,2.018765632,0.7024862513644223
206,170d,14,4.358831268,1.4722039636288646
207,170d,14,5.617314115,1.7258536341871706
208,200d,14,6.651129841,1.8947867411384949
209,200d,14,4.278737585,1.4536580093096991
210,200d,14,6.792291344,1.9157883432598637
211,200d,14,1.826251645,0.6022655848352755
212,200d,14,1.232922263,0.2093871751549187
213,200d,14,0.919313565,-0.0841280124288429
214,200d,14,2.810623256,1.033406258040085
